date,education,skill,entertainment,selfDevelopment,sleep,currentLoggedInUser
12/11/2021,416.48,46.30,214.70,73.05,386.50,hhANBj74wiclvfuDLGfuDlFZgJ62
13/11/2021,0.00,0.00,664.72,62.10,462.77,hhANBj74wiclvfuDLGfuDlFZgJ62
14/11/2021,0.00,124.88,197.50,101.78,550.17,hhANBj74wiclvfuDLGfuDlFZgJ62
15/11/2021,385.83,115.47,0.00,97.88,485.40,hhANBj74wiclvfuDLGfuDlFZgJ62
16/11/2021,0.00,45.24,655.30,71.00,415.67,hhANBj74wiclvfuDLGfuDlFZgJ62
17/11/2021,87.35,57.55,530.28,74.05,448.13,hhANBj74wiclvfuDLGfuDlFZgJ62
18/11/2021,342.33,51.05,429.00,93.18,299.48,hhANBj74wiclvfuDLGfuDlFZgJ62
19/11/2021,176.33,24.58,430.95,107.47,443.12,hhANBj74wiclvfuDLGfuDlFZgJ62
20/11/2021,0.00,277.60,449.17,72.67,403.58,hhANBj74wiclvfuDLGfuDlFZgJ62
21/11/2021,161.65,129.05,298.82,89.17,371.33,hhANBj74wiclvfuDLGfuDlFZgJ62
22/11/2021,205.37,55.48,505.07,80.25,397.23,hhANBj74wiclvfuDLGfuDlFZgJ62
23/11/2021,0.00,166.75,334.78,89.23,415.23,hhANBj74wiclvfuDLGfuDlFZgJ62
24/11/2021,180.37,67.82,437.00,69.37,421.52,hhANBj74wiclvfuDLGfuDlFZgJ62
25/11/2021,171.77,138.28,417.48,93.57,460.77,hhANBj74wiclvfuDLGfuDlFZgJ62
26/11/2021,0.00,34.52,613.98,11.00,472.57,hhANBj74wiclvfuDLGfuDlFZgJ62
27/11/2021,83.28,157.65,341.48,100.95,425.28,hhANBj74wiclvfuDLGfuDlFZgJ62
28/11/2021,113.18,69.98,149.47,90.70,454.48,hhANBj74wiclvfuDLGfuDlFZgJ62
29/11/2021,187.73,118.87,97.00,89.12,520.47,hhANBj74wiclvfuDLGfuDlFZgJ62
30/11/2021,116.73,45.98,693.13,0.00,428.40,hhANBj74wiclvfuDLGfuDlFZgJ62
01/12/2021,179.62,133.95,195.93,91.72,437.23,hhANBj74wiclvfuDLGfuDlFZgJ62
02/12/2021,41.47,170.17,515.10,97.03,464.73,hhANBj74wiclvfuDLGfuDlFZgJ62
03/12/2021,14.92,128.23,525.78,79.03,483.87,hhANBj74wiclvfuDLGfuDlFZgJ62
04/12/2021,143.05,61.98,453.00,72.05,500.37,hhANBj74wiclvfuDLGfuDlFZgJ62
05/12/2021,120.73,120.77,354.57,95.65,400.97,hhANBj74wiclvfuDLGfuDlFZgJ62
06/12/2021,183.12,97.38,390.97,83.47,507.53,hhANBj74wiclvfuDLGfuDlFZgJ62
07/12/2021,123.13,129.08,442.90,58.95,504.05,hhANBj74wiclvfuDLGfuDlFZgJ62
08/12/2021,60.15,67.80,372.40,95.47,459.08,hhANBj74wiclvfuDLGfuDlFZgJ62
09/12/2021,261.27,71.92,320.67,84.72,493.85,hhANBj74wiclvfuDLGfuDlFZgJ62
10/12/2021,0.00,32.00,654.00,0.00,425.90,hhANBj74wiclvfuDLGfuDlFZgJ62
11/12/2021,0.00,0.00,731.45,0.00,497.55,hhANBj74wiclvfuDLGfuDlFZgJ62
12/12/2021,0.00,72.90,559.00,0.00,481.93,hhANBj74wiclvfuDLGfuDlFZgJ62
13/12/2021,124.17,104.48,463.70,31.18,471.42,hhANBj74wiclvfuDLGfuDlFZgJ62
14/12/2021,0.00,277.97,353.55,90.32,493.60,hhANBj74wiclvfuDLGfuDlFZgJ62
15/12/2021,156.33,183.17,284.73,60.57,370.05,hhANBj74wiclvfuDLGfuDlFZgJ62
16/12/2021,0.00,0.00,605.02,0.00,509.70,hhANBj74wiclvfuDLGfuDlFZgJ62
17/12/2021,0.00,122.50,288.48,79.38,403.08,hhANBj74wiclvfuDLGfuDlFZgJ62
18/12/2021,0.00,133.62,558.92,18.00,581.40,hhANBj74wiclvfuDLGfuDlFZgJ62
19/12/2021,0.00,15.20,655.45,0.00,331.00,hhANBj74wiclvfuDLGfuDlFZgJ62
20/12/2021,0.00,161.22,432.80,78.73,350.58,hhANBj74wiclvfuDLGfuDlFZgJ62
21/12/2021,0.00,0.00,451.97,0.00,594.23,hhANBj74wiclvfuDLGfuDlFZgJ62
22/12/2021,0.00,18.55,471.00,0.00,492.00,hhANBj74wiclvfuDLGfuDlFZgJ62
23/12/2021,0.00,125.97,527.08,133.92,452.58,hhANBj74wiclvfuDLGfuDlFZgJ62
24/12/2021,0.00,4.53,454.28,65.67,438.22,hhANBj74wiclvfuDLGfuDlFZgJ62
25/12/2021,0.00,0.00,459.40,63.32,533.05,hhANBj74wiclvfuDLGfuDlFZgJ62
26/12/2021,0.00,0.00,348.95,46.40,424.43,hhANBj74wiclvfuDLGfuDlFZgJ62
27/12/2021,0.00,0.00,583.83,0.00,465.48,hhANBj74wiclvfuDLGfuDlFZgJ62
28/12/2021,0.00,0.00,498.27,34.75,510.88,hhANBj74wiclvfuDLGfuDlFZgJ62
29/12/2021,0.00,0.00,113.02,136.58,441.68,hhANBj74wiclvfuDLGfuDlFZgJ62
30/12/2021,0.00,72.03,206.17,210.42,479.32,hhANBj74wiclvfuDLGfuDlFZgJ62
31/12/2021,0.00,44.35,514.33,26.10,322.82,hhANBj74wiclvfuDLGfuDlFZgJ62
01/01/2022,0.00,30.88,323.17,101.15,457.53,hhANBj74wiclvfuDLGfuDlFZgJ62
02/01/2022,0.00,164.78,271.17,77.67,544.93,hhANBj74wiclvfuDLGfuDlFZgJ62
03/01/2022,0.00,98.87,463.12,16.00,429.82,hhANBj74wiclvfuDLGfuDlFZgJ62
04/01/2022,0.00,30.10,575.22,67.98,479.02,hhANBj74wiclvfuDLGfuDlFZgJ62
05/01/2022,0.00,94.40,64.32,90.80,475.52,hhANBj74wiclvfuDLGfuDlFZgJ62
06/01/2022,166.88,132.43,313.25,69.13,418.68,hhANBj74wiclvfuDLGfuDlFZgJ62
07/01/2022,0.00,139.13,640.12,0.00,400.78,hhANBj74wiclvfuDLGfuDlFZgJ62
08/01/2022,0.00,169.63,266.47,0.00,386.25,hhANBj74wiclvfuDLGfuDlFZgJ62
09/01/2022,0.00,208.53,179.92,137.98,499.17,hhANBj74wiclvfuDLGfuDlFZgJ62
10/01/2022,0.00,185.98,322.70,105.77,453.48,hhANBj74wiclvfuDLGfuDlFZgJ62
11/01/2022,0.00,251.12,202.57,136.55,421.67,hhANBj74wiclvfuDLGfuDlFZgJ62
12/01/2022,0.00,225.70,232.47,29.03,489.93,hhANBj74wiclvfuDLGfuDlFZgJ62
13/01/2022,0.00,57.93,56.40,89.08,352.48,hhANBj74wiclvfuDLGfuDlFZgJ62
14/01/2022,0.00,207.57,210.98,135.07,422.43,hhANBj74wiclvfuDLGfuDlFZgJ62
15/01/2022,0.00,89.68,300.37,154.03,598.72,hhANBj74wiclvfuDLGfuDlFZgJ62
16/01/2022,0.00,153.15,206.25,12.25,524.68,hhANBj74wiclvfuDLGfuDlFZgJ62
17/01/2022,0.00,202.45,186.47,117.55,561.82,hhANBj74wiclvfuDLGfuDlFZgJ62
18/01/2022,0.00,191.28,241.18,103.53,543.40,hhANBj74wiclvfuDLGfuDlFZgJ62
19/01/2022,0.00,82.87,153.12,84.85,404.63,hhANBj74wiclvfuDLGfuDlFZgJ62
20/01/2022,0.00,26.98,298.12,79.97,388.13,hhANBj74wiclvfuDLGfuDlFZgJ62
21/01/2022,0.00,138.85,190.45,85.62,499.83,hhANBj74wiclvfuDLGfuDlFZgJ62
22/01/2022,0.00,0.00,946.22,0.00,287.10,hhANBj74wiclvfuDLGfuDlFZgJ62
23/01/2022,0.00,0.00,563.17,0.00,416.95,hhANBj74wiclvfuDLGfuDlFZgJ62
24/01/2022,0.00,75.00,598.25,20.80,371.45,hhANBj74wiclvfuDLGfuDlFZgJ62
25/01/2022,0.00,0.00,344.10,0.00,414.00,hhANBj74wiclvfuDLGfuDlFZgJ62
26/01/2022,0.00,103.17,354.00,95.37,515.53,hhANBj74wiclvfuDLGfuDlFZgJ62
27/01/2022,0.00,0.00,680.35,0.00,365.33,hhANBj74wiclvfuDLGfuDlFZgJ62
28/01/2022,0.00,0.00,350.30,0.00,366.95,hhANBj74wiclvfuDLGfuDlFZgJ62
29/01/2022,0.00,245.18,272.90,112.92,452.38,hhANBj74wiclvfuDLGfuDlFZgJ62
30/01/2022,0.00,38.15,324.62,147.05,450.00,hhANBj74wiclvfuDLGfuDlFZgJ62
31/01/2022,0.00,0.00,197.00,77.42,465.35,hhANBj74wiclvfuDLGfuDlFZgJ62
01/02/2022,0.00,192.77,191.52,85.97,478.12,hhANBj74wiclvfuDLGfuDlFZgJ62
02/02/2022,0.00,133.57,503.00,80.18,483.37,hhANBj74wiclvfuDLGfuDlFZgJ62
03/02/2022,0.00,98.30,376.47,102.43,369.17,hhANBj74wiclvfuDLGfuDlFZgJ62
04/02/2022,0.00,145.03,460.77,55.10,433.13,hhANBj74wiclvfuDLGfuDlFZgJ62
05/02/2022,0.00,67.18,581.52,74.90,447.68,hhANBj74wiclvfuDLGfuDlFZgJ62
06/02/2022,0.00,0.00,763.00,0.00,549.33,hhANBj74wiclvfuDLGfuDlFZgJ62
07/02/2022,0.00,0.00,724.00,0.00,383.82,hhANBj74wiclvfuDLGfuDlFZgJ62
08/02/2022,0.00,0.00,805.00,0.00,426.15,hhANBj74wiclvfuDLGfuDlFZgJ62
09/02/2022,0.00,0.00,436.00,0.00,390.78,hhANBj74wiclvfuDLGfuDlFZgJ62
10/02/2022,0.00,0.00,556.00,39.32,406.25,hhANBj74wiclvfuDLGfuDlFZgJ62
11/02/2022,0.00,0.00,279.13,85.20,415.00,hhANBj74wiclvfuDLGfuDlFZgJ62
12/02/2022,0.00,11.20,561.00,7.32,432.83,hhANBj74wiclvfuDLGfuDlFZgJ62
13/02/2022,0.00,40.13,12.00,8.03,445.57,hhANBj74wiclvfuDLGfuDlFZgJ62
14/02/2022,0.00,60.33,176.60,0.00,527.95,hhANBj74wiclvfuDLGfuDlFZgJ62
15/02/2022,0.00,79.42,109.20,60.02,526.38,hhANBj74wiclvfuDLGfuDlFZgJ62
16/02/2022,0.00,95.40,305.17,28.28,367.35,hhANBj74wiclvfuDLGfuDlFZgJ62
17/02/2022,24.00,133.52,191.55,75.50,504.93,hhANBj74wiclvfuDLGfuDlFZgJ62
18/02/2022,0.00,68.00,377.30,17.43,453.05,hhANBj74wiclvfuDLGfuDlFZgJ62
19/02/2022,0.00,85.93,176.18,9.82,353.55,hhANBj74wiclvfuDLGfuDlFZgJ62
20/02/2022,0.00,0.00,354.12,0.00,610.40,hhANBj74wiclvfuDLGfuDlFZgJ62
21/02/2022,0.00,129.27,340.12,73.38,329.75,hhANBj74wiclvfuDLGfuDlFZgJ62
22/02/2022,77.03,133.20,216.60,18.52,460.00,hhANBj74wiclvfuDLGfuDlFZgJ62
23/02/2022,224.57,107.22,141.00,131.47,485.72,hhANBj74wiclvfuDLGfuDlFZgJ62
24/02/2022,204.82,128.45,206.08,87.38,434.95,hhANBj74wiclvfuDLGfuDlFZgJ62
25/02/2022,0.00,0.00,461.00,0.00,462.87,hhANBj74wiclvfuDLGfuDlFZgJ62
26/02/2022,0.00,51.93,221.98,11.87,480.78,hhANBj74wiclvfuDLGfuDlFZgJ62
27/02/2022,0.00,68.37,489.93,60.18,489.15,hhANBj74wiclvfuDLGfuDlFZgJ62
28/02/2022,349.97,90.10,88.52,61.42,542.00,hhANBj74wiclvfuDLGfuDlFZgJ62
01/03/2022,0.00,0.00,539.72,8.68,424.68,hhANBj74wiclvfuDLGfuDlFZgJ62
02/03/2022,125.08,9.35,49.98,20.92,477.23,hhANBj74wiclvfuDLGfuDlFZgJ62
03/03/2022,180.78,68.32,166.00,26.90,448.00,hhANBj74wiclvfuDLGfuDlFZgJ62
04/03/2022,0.00,128.28,216.12,84.68,457.88,hhANBj74wiclvfuDLGfuDlFZgJ62
05/03/2022,0.00,63.93,441.00,0.00,510.22,hhANBj74wiclvfuDLGfuDlFZgJ62
06/03/2022,0.00,49.92,350.27,60.73,497.83,hhANBj74wiclvfuDLGfuDlFZgJ62
07/03/2022,304.88,0.00,265.00,0.00,432.00,hhANBj74wiclvfuDLGfuDlFZgJ62
08/03/2022,149.00,56.42,137.52,61.02,344.32,hhANBj74wiclvfuDLGfuDlFZgJ62
09/03/2022,198.88,96.28,162.08,36.93,495.53,hhANBj74wiclvfuDLGfuDlFZgJ62
10/03/2022,143.48,10.47,326.00,49.33,329.05,hhANBj74wiclvfuDLGfuDlFZgJ62
11/03/2022,0.00,0.00,758.00,0.00,430.12,hhANBj74wiclvfuDLGfuDlFZgJ62
12/03/2022,60.10,0.00,346.00,0.00,336.95,hhANBj74wiclvfuDLGfuDlFZgJ62
13/03/2022,0.00,0.00,120.00,0.00,387.27,hhANBj74wiclvfuDLGfuDlFZgJ62
14/03/2022,158.13,0.00,79.00,0.00,452.72,hhANBj74wiclvfuDLGfuDlFZgJ62
15/03/2022,112.07,0.00,215.00,30.03,401.35,hhANBj74wiclvfuDLGfuDlFZgJ62
16/03/2022,275.67,0.00,211.20,0.00,442.13,hhANBj74wiclvfuDLGfuDlFZgJ62
17/03/2022,196.75,0.00,357.20,0.00,337.53,hhANBj74wiclvfuDLGfuDlFZgJ62
