date,mainCategoryName,subcategoryName,timeRecorded,timeSpent,currentLoggedInUser
2021-08-05,Sleep,Sleep,N/A,431.13856476643826,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-05,Education,Studied/Revised,N/A,459.45,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-05,Entertainment,Video Games,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-06,Skills,English Comms,N/A,100.55,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-06,Self Development,Exercise,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-06,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-06,Self Development,Reading,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-06,Entertainment,SM/Anime/MM,N/A,87.11,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-06,Sleep,Sleep,N/A,431.1016100931799,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-06,Education,Studied/Revised,N/A,483.95,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-06,Entertainment,Video Games,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-07,Skills,English Comms,N/A,56.839999999999996,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-07,Self Development,Exercise,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-07,Skills,Programming,N/A,31.62,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-07,Self Development,Reading,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-07,Entertainment,SM/Anime/MM,N/A,147.52,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-07,Sleep,Sleep,N/A,431.2633937413349,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-07,Education,Studied/Revised,N/A,471.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-07,Entertainment,Video Games,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-08,Skills,English Comms,N/A,5.08,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-08,Self Development,Exercise,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-08,Skills,Programming,N/A,88.24,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-08-08,Self Development,Reading,N/A,60.0,hhANBj74wiclvfuDLGfuDlFZgJ62
